    CPU_1(%)   CPU_2(%)  CPU_3(%) CPU_4(%)
	 26.0 		 5.0		24.8		2.0
	 20.0 		 4.0		21.8		2.0
	 24.8 		 5.1		25.7		3.0
	 49.5 		 12.0		43.6		10.9
	 33.0 		 9.8		30.7		5.9
	 31.7 		 8.8		29.7		5.0
	 28.7 		 8.0		27.0		4.0
	 23.2 		 5.0		23.0		4.0
	 26.7 		 7.9		25.0		4.9
	 31.0 		 7.8		27.0		4.9
	 27.3 		 5.0		27.0		4.0
	 23.0 		 5.0		25.0		3.0
	 21.0 		 5.0		22.8		3.0
	 32.4 		 8.0		31.0		6.9
	 60.6 		 23.0		56.4		17.0
	 19.0 		 5.0		21.0		2.0
	 27.0 		 6.0		25.7		3.0
	 22.0 		 5.0		21.2		3.9
	 25.7 		 8.9		26.7		4.0
	 20.0 		 5.9		22.0		3.0
	 25.5 		 5.1		26.0		3.0
	 20.8 		 5.0		22.2		3.9
	 19.8 		 5.0		21.8		2.0
	 19.0 		 5.0		20.0		2.0
	 23.8 		 5.0		25.7		4.0
	 25.0 		 5.0		24.0		3.0
	 19.0 		 5.0		22.8		3.0
	 25.7 		 5.9		27.0		3.0
	 59.4 		 9.8		49.5		7.9
	 35.6 		 9.0		31.0		5.9
	 30.7 		 8.9		30.0		6.0
	 20.0 		 5.0		22.8		3.0
	 18.8 		 3.0		21.0		2.0
	 21.8 		 5.0		24.0		3.0
	 18.2 		 4.0		22.5		3.0
	 19.8 		 5.0		22.0		2.0
	 19.8 		 5.0		21.8		3.0
	 18.0 		 4.0		21.0		2.0
	 21.8 		 5.0		24.8		3.0
	 19.8 		 4.0		22.0		2.0
	 20.0 		 5.0		21.0		2.0
	 19.8 		 5.0		22.5		2.0
	 21.8 		 5.0		23.8		3.0
	 33.0 		 7.9		29.0		5.0
	 49.5 		 18.8		45.0		12.9
	 20.0 		 4.0		21.0		1.0
	 20.8 		 4.0		22.0		2.0
	 20.2 		 6.0		24.0		3.0
	 19.8 		 5.0		22.8		2.0
	 31.7 		 18.0		33.7		13.0
	 19.0 		 4.0		21.8		1.0
	 24.0 		 5.0		24.8		3.0
	 17.0 		 4.0		20.0		2.0
	 18.0 		 4.0		21.0		2.0
	 20.0 		 5.9		21.0		2.0
	 17.0 		 5.0		18.2		1.0
	 17.6 		 4.0		19.8		2.0
	 17.6 		 4.0		19.0		2.0
	 18.0 		 5.0		20.0		2.0
	 16.0 		 3.0		18.8		2.0
	 17.0 		 4.0		20.0		1.0
	 34.7 		 6.9		21.0		2.0
	 17.0 		 4.9		20.0		2.9
	 23.0 		 5.9		22.8		1.0
	 16.8 		 4.9		19.8		2.0
	 40.4 		 19.0		40.0		13.1
	 18.8 		 4.0		19.8		2.0
	 26.0 		 6.0		24.0		3.0
	 16.8 		 5.0		20.8		2.0
	 20.0 		 5.0		21.2		3.0
	 17.0 		 4.0		19.0		1.0
	 18.8 		 5.0		20.0		2.0
	 20.0 		 5.9		20.8		2.9
	 15.8 		 5.0		19.8		1.0
	 17.8 		 3.0		20.0		1.0
	 16.2 		 5.0		20.6		2.0
	 16.0 		 5.0		19.2		1.0
	 17.8 		 4.0		20.6		1.0
	 16.0 		 5.0		19.8		2.0
	 27.0 		 6.9		27.7		4.0
	 18.0 		 4.0		19.0		2.0
	 25.0 		 5.0		22.0		3.0
	 19.8 		 5.0		20.0		3.0
	 16.0 		 5.0		19.2		2.0
	 24.8 		 7.8		25.7		3.0
	 23.5 		 6.0		22.8		3.0
	 15.0 		 5.0		19.0		1.0
	 17.0 		 5.0		20.0		2.0
	 80.4 		 32.7		64.0		22.0
	 19.0 		 7.0		23.2		4.0
	 15.8 		 4.0		19.8		2.0
	 24.0 		 6.9		22.8		3.0
	 24.8 		 6.9		24.8		3.0
	 16.7 		 5.0		19.8		1.0
	 17.8 		 6.9		20.0		2.0
	 16.0 		 5.9		19.0		2.0
	 15.8 		 5.0		19.6		1.0
	 16.0 		 5.0		20.0		2.0
	 17.8 		 5.9		20.8		1.0
	 33.7 		 7.9		28.7		5.0
